id,seller_id,satisfaction_score,review_count,total_product_count,is_abusing_seller,processed_address,is_cross_border,is_english_name
2237,A01170168,98,3162,26,False,서울특별시 금천구,0,0
2238,A00001311,96,606,165,False,서울특별시 마포구,0,0
2239,A01241025,99,148,10,False,서울특별시 강남구,0,0
2240,A01235409,97,1134,211,False,서울특별시 송파구,0,0
2241,A01177017,98,4177,98,False,경기도 부천시,0,0
2242,A00510433,96,4707,141,False,부산광역시 사상구,0,0
2243,A01306215,98,123,6,False,인천광역시 서구,0,0
2244,A00005310,91,77841,10395,False,경기 성남시,0,0
2245,A01194344,95,21,257,False,경기도 의정부시,0,0
2246,A00214680,96,5521,466,False,경상남도 양산시,1,0
2247,A00163411,96,909,667,False,경기도 파주시,0,0
2248,A00157626,98,899,55,False,서울특별시 송파구,0,0
2249,A00147737,95,1351,558,False,서울특별시 강서구,0,0
2250,A00251227,92,821,21,False,경기도 용인시,0,0
2251,A00149434,96,1938,114,False,경기도 하남시,0,0
2252,A01397212,96,937,137,False,경기도 남양주시,0,0
2253,A01219956,96,472,1704,False,전라남도 순천시,1,0
2254,A00204426,94,223,33,False,충청남도 보령시,1,0
2255,A00046446,96,477,45,False,경기도 고양시,0,0
2256,A00860709,94,843,203,False,부산광역시 강서구,0,0
2257,A00400390,95,2058,102,False,대구광역시 북구,0,0
2258,A00194363,95,334,145,False,전라남도 담양군,1,0
2259,A00056506,96,1066,56,False,충청북도 옥천군,1,0
2260,A01166106,95,1701,20,False,인천광역시 남동구,0,0
2261,A00194796,94,686,339,False,인천광역시 연수구,0,0
2262,A00032847,95,9106,2935,False,충청북도 충주시,1,0
2263,A01481994,98,1193,35,False,경기도 김포시,0,0
2264,A00033719,99,471,100,False,인천광역시 남동구,0,0
2265,A00133272,94,2452,2858,False,부산광역시 사상구,0,0
2266,A00368132,96,155,64,False,경기도 안양시,0,0
2267,A01362937,97,337,143,False,인천광역시 서구,0,0
2268,A00315881,92,791,30,False,대전광역시 대덕구,0,0
2269,A00650341,94,116,529,False,경기도 용인시,0,0
2270,A01169205,97,449,50,False,서울특별시 서초구,0,0
2271,A00885304,95,480,1331,False,서울특별시 은평구,0,0
2272,A00837773,98,810,102,False,대구광역시 수성구,0,0
2273,A00185371,94,183412,1924534,False,서울특별시 서초구,0,0
